iata,time_zone_id,name,city_code,country_id,location,elevation,icao,city,state
TJL,America/Campo_Grande,Três Lagoas Airport,TJL,BR,POINT (-51.683889 -20.754444),1050,SBTG,Tres Lagoas,Mato Grosso do Sul
TLZ,America/Sao_Paulo,Catalao,TLZ,BR,POINT (-47.95 -18.166668),2612,SWKT,Catalao,Goias
TMT,America/Santarem,Trombetas,TMT,BR,POINT (-55.583332 -1.916667),287,SBTB,Abidos,Para
TOW,America/Sao_Paulo,Toledo,TOW,BR,POINT (-53.69611 -24.69861),1843,SBTD,Toledo,Parana
TRQ,America/Rio_Branco,Tarauaca,TRQ,BR,POINT (-70.75 -8.1),646,SBTK,Tarauaca,Acre
TSQ,America/Sao_Paulo,Torres,TSQ,BR,POINT (-49.746113 -29.3325),26,SBTR,Torres,Rio Grande do Sul
TUR,America/Belem,Tucurui,TUR,BR,POINT (-49.733334 -3.7),830,SBTU,Tucurui,Para
TUZ,America/Belem,Tucuma,TUZ,BR,POINT (-50.5 -21.883333),1060,,Tupa,Sao Paulo
TXF,America/Bahia,Teixeira de Freitas Airport,TXF,BR,POINT (-37.183334 -7.133333),344,SNTF,Teixeira,Paraiba
UBA,America/Sao_Paulo,Uberaba Airport,UBA,BR,POINT (-47.958332 -19.776388),2655,SBUR,Uberaba,Minas Gerais
UBT,America/Sao_Paulo,Ubatuba,UBT,BR,POINT (-45.07459704874877 -23.441335600000002),13,SDUB,Ubatuba,Sao Paulo
UDI,America/Sao_Paulo,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,UDI,BR,POINT (-48.233334 -18.9),3094,SBUL,Uberlandia,Minas Gerais
UMU,America/Sao_Paulo,Ernesto Geisel,UMU,BR,POINT (-53.31333 -23.798332),1558,SSUM,Umuarama,Parana
UNA,America/Bahia,Una,UNA,BR,POINT (-38.997223 -15.353333),20,SBTC,Una,Bahia
URB,America/Sao_Paulo,Ernesto Pochler,URB,BR,POINT (-51.566666 -20.783333),1169,,Castilho,Sao Paulo
URG,America/Sao_Paulo,Ruben Berta Airport,URG,BR,POINT (-57.038334 -29.781668),256,SBUG,Uruguaiana,Rio Grande do Sul
UVI,America/Sao_Paulo,União da Vitória Airport,UVI,BR,POINT (-51.068889 -26.231667),2437,,Porto Uniao,Santa Catarina
VAG,America/Sao_Paulo,Major-Brigadeiro Trompowsky Airport,VAG,BR,POINT (-45.433334 -21.55),2870,SBVG,Varginha,Minas Gerais
VAL,America/Bahia,Valenca,VAL,BR,POINT (-39.083332 -13.333333),249,SNVB,Valenca,Bahia
VIX,America/Sao_Paulo,Eurico de Aguiar Salles Airport,VIX,BR,POINT (-40.28135718192593 -20.256092950000003),49,SBVT,Vila Velha,Espirito Santo
XAP,America/Sao_Paulo,Chapeco Airport,XAP,BR,POINT (-52.629723 -27.088612),2146,SBCH,Chapeco,Santa Catarina
XIG,America/Belem,Xinguara,XIG,BR,POINT (-48.8 -6.966667),810,SWSX,Sao Geraldo do Araguaia,Para
ZFU,America/Sao_Paulo,Aruja,ZFU,BR,POINT (-46.3214444 -23.3964516),0,,Aruja,Sao Paulo
ZMD,America/Rio_Branco,Sena Madureira,ZMD,BR,POINT (-68.75 -9.083333),540,,Sena Madureira,Acre
NSR,America/Fortaleza,São Raimundo Nonato Airport,NSR,BR,POINT (-42.644444 -9.082778),1362,SWKY,São Raimundo Nonato,
OPP,America/Belem,Salinópolis Airport,OPP,BR,POINT (-47.337778 -0.696944),89,SNSM,Salinópolis,
JAW,America/Recife,Aeroporto de Araripina,JAW,BR,POINT (-40.535556 -7.586389),2195,SNAB,,
QGP,America/Recife,Garanhuns Airport,QGP,BR,POINT (-36.471389 -8.834444),2533,SNGN,Garanhuns,
VRZ,America/Sao_Paulo,Lavras Airport,VRZ,BR,POINT (-44.9639 -21.2406),3156,SSOL,Lavras,
QIG,America/Fortaleza,Dr. Francisco Tomé da Frota Airport,QIG,BR,POINT (-39.298611 -6.347778),692,SNIG,Iguatu,
